178247.37,178330.32
178248.10,178329.84
178246.64,178330.57
178246.15,178329.84
178246.64,178329.59
178246.15,178330.57
178246.15,178329.59
178246.87,178330.09
178246.15,178330.81
178248.82,178330.57
178249.07,178331.31
178248.59,178331.06
178248.82,178330.81
178248.34,178330.81
178248.59,178331.31
178248.59,178330.81
178248.10,178330.57
178248.59,178330.57
178248.10,178330.57
178248.10,178331.06
178248.10,178331.06
178248.34,178330.57
178248.10,178330.57
178248.10,178330.57
178248.10,178331.31
178248.10,178330.09
178248.34,178330.81
178248.59,178330.32
178248.59,178330.81
178248.10,178331.31
178247.85,178331.54
178248.10,178329.84
178248.82,178331.06
178248.10,178331.31
178248.10,178329.59
178249.07,178331.31
178248.10,178330.09
178248.59,178329.59
178246.15,178330.32
178248.59,178330.81
178248.34,178331.31
178248.10,178329.84
178248.59,178330.57
178248.10,178330.57
178248.59,178330.81
178248.10,178330.57
178248.10,178330.32
178248.59,178330.57
178248.34,178330.32
178246.39,178330.81
