178252.50,178503.56
178249.07,178500.64
178249.32,178501.62
178249.32,178502.10
178249.56,178500.89
178250.04,178501.12
178250.04,178501.12
178247.85,178501.12
178247.37,178501.37
178247.37,178501.12
178247.12,178501.12
178247.12,178501.37
178249.32,178501.85
178249.32,178502.10
178249.32,178501.62
178249.32,178501.62
178249.32,178501.12
178247.60,178502.59
178248.34,178500.39
178247.37,178502.10
178249.32,178502.59
178249.56,178502.59
178249.32,178503.07
178249.32,178500.64
178247.12,178501.62
178249.32,178501.85
178249.07,178502.10
178249.07,178501.62
178249.07,178501.62
178248.82,178500.89
178249.07,178500.64
178248.34,178503.07
178248.59,178501.37
178249.07,178501.62
178249.07,178501.62
178248.82,178502.84
178248.82,178502.34
178248.59,178501.85
178249.07,178501.37
178249.07,178500.89
178249.32,178501.12
178249.56,178502.10
178247.12,178501.85
178246.87,178501.85
178249.07,178502.10
178249.07,178501.85
178248.82,178501.85
178249.07,178501.62
178249.07,178502.10
178249.07,178501.85
