178249.81,179751.62
178249.32,179753.34
178247.85,179752.60
178248.34,179753.82
178250.04,179751.87
178247.12,179753.82
178248.82,179752.60
178249.56,179751.14
178248.10,179751.14
178248.34,179751.14
178247.85,179753.09
178249.56,179752.35
178248.34,179751.14
178247.60,179750.89
178247.85,179751.39
178249.81,179752.84
178249.81,179751.87
178247.60,179753.82
178248.34,179753.57
178247.37,179751.39
178250.04,179750.40
178249.07,179751.87
178249.81,179751.62
178247.85,179754.31
178248.34,179751.62
178249.56,179753.57
178249.32,179753.82
178248.82,179754.31
178247.85,179751.62
178248.10,179752.60
178249.32,179753.09
178247.60,179751.87
178248.34,179752.84
178248.10,179752.12
178247.85,179753.34
178248.10,179753.82
178247.37,179752.60
178248.10,179752.12
178249.81,179752.60
178249.56,179752.35
178248.82,179753.34
178250.29,179751.62
178249.07,179752.60
178249.81,179752.35
178248.82,179752.12
178249.32,179751.87
178248.34,179751.62
178250.04,179752.12
178247.12,179751.62
178248.82,179753.34
